Initial_LR: 9.773957e-05;Decay_Factor: 0.9; DecayStart_Epoch: 8
Epoch;Loss;Accuracy;Learning_Rate
0;0.6324036121368408;0.6323133111000061;9.773956844583154e-05
1;0.5304700136184692;0.7361839413642883;9.773956844583154e-05
2;0.4896085262298584;0.7647631764411926;9.773956844583154e-05
3;0.4602402150630951;0.7848087549209595;9.773956844583154e-05
4;0.4349788427352905;0.801111102104187;9.773956844583154e-05
5;0.41129085421562195;0.8154826760292053;9.773956844583154e-05
6;0.3881158232688904;0.8293715715408325;9.773956844583154e-05
7;0.3651699125766754;0.8413843512535095;9.773956844583154e-05
8;0.34116891026496887;0.8550637364387512;8.796561451163143e-05
9;0.3195135295391083;0.86756831407547;8.796561451163143e-05
10;0.29707634449005127;0.8798360824584961;8.796561451163143e-05
11;0.27546653151512146;0.8914844989776611;8.796561451163143e-05
12;0.2535521686077118;0.9036247730255127;8.796561451163143e-05
13;0.23299764096736908;0.9145810604095459;8.796561451163143e-05
14;0.21236763894557953;0.9261384606361389;8.796561451163143e-05
15;0.193716362118721;0.9352185726165771;8.796561451163143e-05
16;0.17705832421779633;0.9435154795646667;7.916905451565981e-05
17;0.1630018651485443;0.9496083855628967;7.916905451565981e-05
18;0.15166345238685608;0.9557285904884338;7.916905451565981e-05
19;0.1414273977279663;0.9600455164909363;7.916905451565981e-05
20;0.13344722986221313;0.9629599452018738;7.916905451565981e-05
21;0.12439896166324615;0.9668214917182922;7.916905451565981e-05
22;0.1176987811923027;0.9690254926681519;7.916905451565981e-05
23;0.1113823726773262;0.9710655808448792;7.916905451565981e-05
24;0.1140340119600296;0.9669854044914246;7.125214324332774e-05
